SPECIES_CODE,Family,Taxon,Genus
41500,Primnoidae,Coral,
41520,Primnoidae,Coral,Primnoa spp
41521,Primnoidae,Coral,Primnoa spp
41522,Primnoidae,Coral,Primnoa spp
41525,Antipatheria,Coral,
41530,Antipatheria,Coral,
41540,Antipatheria,Coral,
41550,Antipatheria,Coral,
41551,Antipatheria,Coral,
41552,Antipatheria,Coral,
41570,Paramuriceidae,Coral,
41571,Paramuriceidae,Coral,
41572,Paramuriceidae,Coral,
41580,Paragorgidae,Coral,
41582,Paragorgidae,Coral,
41583,Paragorgidae,Coral,
41585,Plexauridae,Coral,
41586,Plexauridae,Coral,
41587,Paragorgidae,Coral,
41591,Plexauridae,Coral,
41600,Primnoidae,Coral,
41605,Primnoidae,Coral,
41700,Acanthogorgidae,Coral,
41701,Acanthogorgidae,Coral,
42000,,SeaPenWhip,
42001,SeaWhip,SeaPenWhip,
42003,SeaWhip,SeaPenWhip,
42004,SeaWhip,SeaPenWhip,
42006,SeaWhip,SeaPenWhip,
42007,SeaWhip,SeaPenWhip,
42008,SeaWhip,SeaPenWhip,
42010,SeaWhip,SeaPenWhip,
42012,SeaWhip,SeaPenWhip,
42013,SeaWhip,SeaPenWhip,
42015,SeaPen,SeaPenWhip,
42017,SeaPen,SeaPenWhip,
42020,SeaPen,SeaPenWhip,
42021,SeaPen,SeaPenWhip,
44028,Stylasteridae,Coral,
44029,Stylasteridae,Coral,
44030,Stylasteridae,Coral,
44032,Stylasteridae,Coral,
44036,Stylasteridae,Coral,
44037,Stylasteridae,Coral,
44039,Stylasteridae,Coral,
44040,Stylasteridae,Coral,
44041,Stylasteridae,Coral,
44045,Stylasteridae,Coral,
44048,Stylasteridae,Coral,
44061,Stylasteridae,Coral,
44075,Primnoidae,Coral,
44080,Stylasteridae,Coral,
44081,Stylasteridae,Coral,
44083,Primnoidae,Coral,
44085,Isididae,Coral,
44086,Primnoidae,Coral,
44087,Primnoidae,Coral,
44088,Isididae,Coral,
44089,Primnoidae,Coral,
44090,Primnoidae,Coral,
44091,Primnoidae,Coral,
44092,Plexauridae,Coral,
44093,Plexauridae,Coral,
44094,Primnoidae,Coral,
44095,Primnoidae,Coral,
44096,Primnoidae,Coral,
44097,Primnoidae,Coral,
44098,Primnoidae,Coral,
44103,Plexauridae,Coral,
44106,Primnoidae,Coral,
44114,Primnoidae,Coral,
91000,Unid sponge,Sponge,
91002,Low,Sponge,Demosponge
91005,Upright,Sponge,Demosponge
91015,Low,Sponge,Demosponge
91016,Low,Sponge,Demosponge
91017,Low,Sponge,Demosponge
91018,Low,Sponge,Demosponge
91020,Low,Sponge,Demosponge
91030,Upright,Sponge,Demosponge
91031,Upright,Sponge,Hexactinellid
91036,Upright,Sponge,Hexactinellid
91038,Upright,Sponge,Demosponge
91039,Upright,Sponge,Demosponge
91040,Upright,Sponge,Demosponge
91042,Low,Sponge,Demosponge
91045,Low,Sponge,Demosponge
91046,Low,Sponge,Demosponge
91047,Low,Sponge,Demosponge
91048,Upright,Sponge,Hexactinellid
91049,Upright,Sponge,Demosponge
91050,Upright,Sponge,Demosponge
91051,Upright,Sponge,Demosponge
91052,Upright,Sponge,Calcarea
91053,Upright,Sponge,Hexactinellid
91054,Upright,Sponge,Demosponge
91055,Low,Sponge,Demosponge
91056,Upright,Sponge,Demosponge
91057,Upright,Sponge,Demosponge
91059,Upright,Sponge,Demosponge
91060,Low,Sponge,Demosponge
91061,Low,Sponge,Demosponge
91062,Low,Sponge,Demosponge
91063,Upright,Sponge,Demosponge
91064,Upright,Sponge,Demosponge
91065,Low,Sponge,Demosponge
91066,Low,Sponge,Demosponge
91067,Upright,Sponge,Demosponge
91068,Upright,Sponge,Calcarea
91069,Low,Sponge,Demosponge
91070,Upright,Sponge,Hexactinellid
91071,Upright,Sponge,Demosponge
91072,Low,Sponge,Demosponge
91074,Low,Sponge,Demosponge
91075,Low,Sponge,Demosponge
91076,Low,Sponge,Demosponge
91077,Low,Sponge,Demosponge
91078,Low,Sponge,Demosponge
91079,Low,Sponge,Demosponge
91080,Low,Sponge,Demosponge
91081,Low,Sponge,Demosponge
91082,Low,Sponge,Demosponge
91083,Low,Sponge,Demosponge
91084,Low,Sponge,Demosponge
91085,Upright,Sponge,Calcarea
91086,Upright,Sponge,Demosponge
91088,Upright,Sponge,Demosponge
91089,Upright,Sponge,Demosponge
91090,Low,Sponge,Demosponge
91092,Upright,Sponge,Demosponge
91093,Upright,Sponge,Demosponge
91100,Upright,Sponge,Demosponge
91101,Low,Sponge,Demosponge
91105,Low,Sponge,Demosponge
91109,Low,Sponge,Demosponge
91110,Low,Sponge,Demosponge
91111,Low,Sponge,Demosponge
91112,Low,Sponge,Demosponge
91113,Low,Sponge,Demosponge
91114,Low,Sponge,Demosponge
91120,Low,Sponge,Demosponge
91121,Low,Sponge,Demosponge
91125,Low,Sponge,Demosponge
91127,Low,Sponge,Demosponge
91201,Upright,Sponge,Calcarea
91215,Low,Sponge,Demosponge
91220,Upright,Sponge,Demosponge
91226,Low,Sponge,Demosponge
91227,Low,Sponge,Demosponge
91230,Upright,Sponge,Demosponge
91237,Upright,Sponge,Demosponge
91257,Upright,Sponge,Demosponge
91260,Upright,Sponge,Demosponge
91700,Upright,Sponge,Hexactinellid
91701,Upright,Sponge,Hexactinellid
91705,Low,Sponge,Demosponge
91710,Upright,Sponge,Hexactinellid
91721,Upright,Sponge,Hexactinellid
91725,Upright,Sponge,Hexactinellid
41541,Antipatheria,Coral,
42005,SeaWhip,SeaPenWhip,
42009,SeaWhip,SeaPenWhip,
44038,Stylasteridae,Coral,
44060,Stylasteridae,Coral,
44071,Primnoidae,Coral,
44077,Stylasteridae,Coral,
44082,Stylasteridae,Coral,
44084,Isididae,Coral,
44105,Anthothelidae,Coral,
44107,Primnoidae,Coral,
99981,Low,Sponge,Demosponge
99982,Low,Sponge,Demosponge
99983,Low,Sponge,Demosponge
99985,Low,Sponge,Demosponge
99987,Low,Sponge,Demosponge
99988,Low,Sponge,Demosponge
