aphiaid,a,b,mean_wt
22549,0.007,1.5585,
1609357,0.007,1.5585,
1367,,,0.100936064
164811,2.7451,0.8516,
22612,0.0055,2.1014,
558,2.7451,0.8516,
559,2.7451,0.8516,
125272,0.007,1.5585,
128504,,,0.100936064
146534,,,0.100936064
1393616,,,0.100936064
289659,0.007,1.5585,
267316,0.007,1.5585,
266961,0.007,1.5585,
131893,2.7451,0.8516,
125418,0.00005,2.8407,
128491,,,0.100936064
286626,,,0.100936064
125276,0.007,1.5585,
582522,0.007,1.5585,
1544106,0.007,1.5585,
520678,0.007,1.5585,
289377,0.007,1.5585,
378315,0.007,1.5585,
289747,0.007,1.5585,
125281,0.007,1.5585,
286365,0.007,1.5585,
290947,,,0.037960341
125277,0.007,1.5585,
125314,0.007,1.5585,
125317,0.0003,2.1286,
267700,0.0003,2.1286,
286539,0.0003,2.1286,
125278,0.0003,2.1286,
125317,0.0003,2.1286,
267238,0.0003,2.1286,
267434,0.0003,2.1286,
177839,0.0003,2.1286,
125323,0.0003,2.1286,
103306,0.007,1.5585,
266964,0.007,1.5585,
128531,,,0.100936064
128488,,,0.100936064
